Emp_id,Name,Company,Gender,Age,Performance Score,Years at Company,Monthly Hours,Projects Completed,Satisfaction Level,Salary (INR),Work Accidents,Last Promotion,Department,JobSecurityScore
EMP000001,Deepak,Capgemini,Male,53,2,14,176,5,0.86,87530,2,1,Human Resources,2
EMP000002,Meena,Accenture India,Female,50,3,13,287,5,0.21,70893,0,2,Sales,3
EMP000003,Manish,Wipro,Male,25,5,2,245,3,0.73,122697,0,6,Marketing,5
EMP000004,Morgan,HCL Technologies,Other,32,4,18,246,13,0.44,94175,0,10,IT,5
EMP000005,Priya,Capgemini,Female,58,2,5,129,8,0.89,47738,1,10,Marketing,1
EMP000006,Kavita,Tech Mahindra,Female,52,3,1,193,8,0.96,68776,1,5,Software Development,3
EMP000007,Ankit,LTIMindtree,Male,58,5,8,185,1,0.75,91740,3,5,Operations,5
EMP000008,Ankit,Capgemini,Male,37,3,12,221,15,0.32,192882,1,8,Software Development,4
EMP000009,Swati,Wipro,Female,52,5,17,204,4,0.57,53219,1,4,software dev,5
EMP000010,Swati,HCL Technologies,Female,44,1,11,277,6,0.57,89400,2,10,IT,1
EMP000011,Jamie,Accenture India,Other,32,5,20,201,9,0.86,108887,2,8,IT,5
EMP000012,Rohit,Wipro,Male,51,1,3,154,2,0.57,45750,3,0,Human Resources,1
EMP000013,Rohit,Wipro,Male,39,4,6,172,7,0.47,170567,0,2,Quality Assurance,4
EMP000014,Rohit,LTIMindtree,Male,49,2,11,286,10,0.69,32658,2,4,Operations,3
EMP000015,Swati,IBM India,Female,41,1,10,231,1,0.72,30232,2,6,Operations,1
EMP000016,Arjun,HCL Technologies,Male,46,3,6,141,10,0.85,98300,2,4,software dev,3
EMP000017,Deepak,Cognizant,Male,48,5,9,186,4,0.92,24153,1,3,Finance,5
EMP000018,Rohit,Wipro,Male,37,3,8,219,10,0.91,55363,2,4,software dev,3
EMP000019,Arjun,IBM India,Male,29,1,1,199,11,0.7,51996,2,0,Software Development,1
EMP000020,Alex,Cognizant,Other,41,3,4,219,15,0.62,28905,0,10,Finance,4
EMP000021,Swati,HCL Technologies,Female,54,5,9,194,15,0.84,67519,1,4,Software Development,5
EMP000022,Karan,Infosys,Male,31,2,13,239,15,0.45,96014,0,8,Quality Assurance,3
EMP000023,Rahul,Tech Mahindra,Male,40,3,15,136,12,0.81,42911,0,2,Marketing,4
EMP000024,Vikas,IBM India,Male,59,4,1,266,7,0.6,51911,1,9,Software Development,4
EMP000025,Arjun,TCS,Male,36,5,18,191,3,0.3,193487,1,5,Finance,5
EMP000026,Rahul,Infosys,Male,49,5,8,243,3,0.8,28087,1,8,Quality Assurance,5
EMP000027,Priya,Tech Mahindra,Female,21,4,13,209,15,0.72,103668,0,5,Sales,5
EMP000028,Ankit,LTIMindtree,Male,38,1,14,170,4,0.27,148678,3,9,Finance,1
EMP000029,Rohit,Capgemini,Male,42,4,18,295,8,0.56,142151,0,5,Quality Assurance,5
EMP000030,Manish,Accenture India,Male,28,1,7,176,14,0.59,169804,1,5,Operations,1
EMP000031,Anjali,TCS,Female,27,2,14,257,3,0.72,89484,0,6,software dev,3
EMP000032,Swati,LTIMindtree,Female,45,1,7,151,8,0.74,166010,3,5,Finance,1
EMP000033,Sneha,HCL Technologies,Female,50,2,3,198,10,0.35,146451,3,7,Marketing,1
EMP000034,Sneha,LTIMindtree,Female,54,2,5,242,9,0.23,60462,3,1,Quality Assurance,1
EMP000035,Neha,Capgemini,Female,31,4,10,241,12,0.84,118885,2,7,Quality Assurance,4
EMP000036,Arjun,HCL Technologies,Male,35,2,11,187,8,0.99,34040,0,3,Operations,3
EMP000037,Swati,TCS,Female,55,1,8,147,15,0.95,143974,1,1,Sales,2
EMP000038,Suresh,Capgemini,Male,43,3,17,251,8,0.6,63649,0,8,Quality Assurance,4
EMP000039,Manish,Cognizant,Male,41,5,16,196,9,0.62,38785,3,4,Human Resources,4
EMP000040,Pooja,Accenture India,Female,48,5,20,259,4,0.94,118944,3,2,Human Resources,5
